127.0.0.1 - - [18/Jun/2024:09:23:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:23:53 +0900] "GET /JSP/member.jsp HTTP/1.1" 200 5347
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:23:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:25:20 +0900] "GET /JSP/ HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:25:20 +0900] "GET /JSP/images/image1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:25:20 +0900] "GET /JSP/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:25:20 +0900] "GET /JSP/images/image2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:26:26 +0900] "GET /JSP/mypage.jsp? HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:27:41 +0900] "GET /JSP/login.jsp? HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:27:42 +0900] "GET /JSP/next3.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:27:44 +0900] "GET /JSP/insert.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:27:48 +0900] "POST /JSP/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:27:48 +0900] "GET /JSP/success.jsp HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:23:00 +0900] "GET /JSP/index.jsp HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:30:12 +0900] "GET /JSP/script.js HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:30:20 +0900] "GET /JSP/ HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:38:54 +0900] "GET /JSP/index.jsp HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:38:54 +0900] "GET /JSP/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:39:03 +0900] "GET /JSP/index.jsp HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:40:36 +0900] "GET /JSP/index.jsp HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:40:57 +0900] "GET /JSP/index.jsp HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:41:04 +0900] "GET /JSP/index.jsp HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:50:27 +0900] "GET /JSP/index.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:53:14 +0900] "GET /JSP/index.jsp HTTP/1.1" 200 2688
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:54:25 +0900] "GET /JSP/index.jsp HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:55:16 +0900] "GET /JSP/index.jsp HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:58:25 +0900] "GET /JSP/index.jsp HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:58:37 +0900] "GET /JSP/index.jsp HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [18/Jun/2024:13:58:38 +0900] "GET /JSP/index.jsp HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [18/Jun/2024:15:34:23 +0900] "GET /JSP/index.jsp HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [18/Jun/2024:15:35:37 +0900] "GET /JSP/index.jsp HTTP/1.1" 200 2683
